indiv rio peso enfermo
292 Murtigas 81 1
293 Murtigas 29 0
294 Murtigas 26 0
295 Murtigas 16 0
296 Murtigas 23 0
297 Murtigas 26 0
298 Murtigas 70 0
299 Murtigas 49 0
300 Murtigas 67 1
301 Murtigas 3 0
302 Murtigas 69 0
303 Murtigas 24 1
304 Murtigas 17 0
305 Murtigas 55 0
306 Murtigas 27 0
307 Murtigas 63 0
308 Murtigas 8 0
309 Murtigas 7 0
310 Murtigas 80 0
311 Murtigas 78 0
312 Murtigas 83 0
313 Murtigas 34 0
314 Murtigas 69 0
315 Murtigas 89 0
316 Murtigas 82 0
317 Murtigas 91 1
318 Murtigas 77 0
319 Murtigas 20 0
320 Murtigas 3 0
321 Murtigas 54 0
322 Murtigas 29 0
323 Murtigas 93 0
324 Murtigas 30 0
325 Murtigas 35 0
326 Murtigas 89 0
327 Murtigas 91 0
328 Murtigas 7 0
329 Murtigas 48 0
330 Murtigas 97 1
331 Murtigas 50 1
332 Murtigas 24 1
333 Murtigas 20 0
334 Murtigas 94 0
335 Murtigas 31 0
336 Murtigas 52 0
337 Murtigas 31 0
338 Murtigas 73 0
339 Murtigas 88 0
340 Murtigas 44 0
341 Murtigas 67 0
342 Murtigas 59 0
343 Murtigas 34 0
344 Murtigas 96 1
345 Murtigas 77 0
346 Murtigas 43 0
347 Murtigas 33 0
348 Murtigas 90 0
349 Murtigas 76 1
350 Murtigas 18 0
351 Murtigas 65 0
352 Murtigas 62 0
353 Murtigas 96 0
354 Murtigas 41 0
355 Murtigas 52 0
356 Murtigas 48 1
357 Murtigas 67 0
358 Murtigas 87 0
359 Murtigas 75 0
360 Murtigas 97 0
361 Murtigas 1 0
362 Murtigas 46 0
363 Murtigas 11 0
364 Murtigas 92 1
365 Murtigas 25 0
366 Murtigas 37 0
367 Murtigas 72 0
368 Murtigas 15 0
369 Murtigas 49 0
370 Murtigas 66 0
371 Murtigas 51 0
372 Murtigas 45 0
373 Murtigas 16 0
374 Murtigas 69 0
375 Murtigas 40 0
376 Murtigas 86 0
377 Murtigas 20 0
378 Murtigas 33 0
379 Murtigas 64 1
380 Murtigas 98 1
381 Murtigas 53 0
382 Murtigas 97 1
383 Murtigas 23 0
384 Murtigas 55 0
385 Murtigas 15 0
386 Murtigas 3 0
387 Murtigas 97 1
388 Murtigas 15 0
389 Murtigas 28 0
390 Murtigas 96 0
391 Murtigas 35 0
392 Murtigas 5 0
393 Murtigas 51 0
394 Murtigas 26 0
395 Murtigas 92 1
396 Murtigas 17 0
397 Murtigas 8 0
398 Murtigas 80 1
399 Murtigas 98 0
400 Murtigas 17 0
401 Murtigas 28 0
402 Murtigas 16 0
403 Murtigas 68 0
404 Murtigas 45 0
405 Murtigas 90 0
406 Murtigas 45 0
407 Murtigas 14 0
408 Murtigas 6 0
409 Murtigas 5 0
410 Murtigas 7 0
411 Murtigas 31 0
412 Murtigas 29 0
413 Murtigas 49 0
414 Murtigas 60 0
415 Murtigas 51 0
416 Murtigas 87 0
417 Murtigas 55 0
418 Murtigas 82 0
419 Murtigas 54 0
420 Murtigas 85 0
421 Murtigas 90 0
422 Murtigas 54 0
423 Murtigas 82 0
424 Murtigas 62 0
425 Murtigas 12 0
426 Murtigas 85 0
427 Murtigas 40 0
428 Oraque 16 0
429 Oraque 48 1
430 Oraque 69 0
431 Oraque 89 0
432 Oraque 67 1
433 Oraque 18 0
434 Oraque 68 0
435 Oraque 79 1
436 Oraque 54 1
437 Oraque 62 0
438 Oraque 72 0
439 Oraque 71 1
440 Oraque 24 0
441 Oraque 47 0
442 Oraque 46 0
443 Oraque 4 0
444 Oraque 96 1
445 Oraque 57 1
446 Oraque 12 0
447 Oraque 32 1
448 Oraque 42 0
449 Oraque 70 1
450 Oraque 53 1
451 Oraque 31 0
452 Oraque 19 0
453 Oraque 14 0
454 Oraque 78 0
455 Oraque 97 1
456 Oraque 35 0
457 Oraque 75 0
458 Oraque 5 1
459 Oraque 29 0
460 Oraque 5 0
461 Oraque 98 1
462 Oraque 69 1
463 Oraque 13 1
464 Oraque 19 0
465 Oraque 53 0
466 Oraque 17 0
467 Oraque 51 1
468 Oraque 47 0
469 Oraque 37 1
470 Oraque 70 1
471 Oraque 43 0
472 Oraque 6 1
473 Oraque 26 1
474 Oraque 6 1
475 Oraque 80 1
476 Oraque 6 0
477 Oraque 95 1
478 Oraque 25 0
479 Oraque 28 0
480 Oraque 18 0
481 Oraque 10 0
482 Oraque 47 1
483 Oraque 48 0
484 Oraque 97 0
485 Oraque 2 0
486 Oraque 65 1
487 Oraque 36 1
488 Oraque 92 1
489 Oraque 15 0
490 Oraque 60 0
491 Oraque 17 1
492 Oraque 60 0
493 Oraque 73 0
494 Oraque 50 0
495 Oraque 4 0
496 Oraque 28 0
497 Oraque 35 1
498 Oraque 80 0
499 Oraque 79 0
500 Oraque 54 0
501 Oraque 36 0
502 Oraque 26 1
503 Oraque 98 1
504 Oraque 33 0
505 Oraque 21 0
506 Oraque 62 0
507 Oraque 72 1
508 Oraque 70 0
509 Oraque 4 0
510 Oraque 59 1
511 Oraque 36 0
512 Oraque 96 0
513 Oraque 97 1
514 Oraque 98 1
515 Oraque 89 0
516 Oraque 59 0
517 Oraque 67 1
518 Oraque 73 0
519 Oraque 33 0
520 Oraque 74 1
521 Oraque 93 1
522 Oraque 67 1
523 Oraque 97 1
524 Oraque 8 0
525 Oraque 69 1
526 Oraque 16 0
527 Oraque 47 0
528 Oraque 75 1
529 Oraque 58 0
530 Oraque 49 0
531 Oraque 81 1
532 Oraque 24 0
533 Oraque 42 0
534 Oraque 25 0
535 Oraque 4 0
536 Oraque 62 0
537 Oraque 56 0
538 Oraque 83 1
539 Oraque 4 0
540 Oraque 23 0
541 Oraque 60 1
542 Oraque 97 1
543 Oraque 72 0
544 Oraque 85 0
545 Oraque 96 1
546 Oraque 39 0
547 Oraque 88 1
548 Oraque 60 1
549 Oraque 56 1
550 Oraque 26 1
551 Oraque 83 0
552 Oraque 77 0
553 Oraque 17 0
554 Oraque 60 0
555 Oraque 56 1
556 Oraque 63 1
557 Oraque 66 1
558 Oraque 38 0
559 Oraque 43 0
560 Oraque 29 0
561 Oraque 89 0
562 Oraque 17 0
563 Oraque 11 1
564 Oraque 67 0
565 Oraque 74 0
566 Oraque 92 0
567 Oraque 61 0
568 Oraque 39 0
569 Oraque 69 0
570 Oraque 7 0
571 Oraque 30 0
572 Oraque 86 0
573 Oraque 75 1
574 Oraque 28 0
575 Oraque 21 0
576 Oraque 15 1
577 Oraque 85 1
578 Oraque 83 1
579 Oraque 32 0
580 Oraque 97 1
581 Oraque 11 0
582 Oraque 27 1
583 Oraque 80 1
584 Oraque 56 1
585 Oraque 43 1
586 Oraque 57 0
587 Oraque 87 0
588 Oraque 17 1
589 Oraque 9 0
590 Oraque 42 0
591 Oraque 50 1
592 Oraque 23 0
593 Oraque 22 0
594 Oraque 21 1
595 Oraque 70 0
596 Oraque 8 1
597 Oraque 49 0
598 Oraque 82 0
599 Oraque 33 0
600 Oraque 55 0
601 Oraque 73 1
602 Oraque 47 0
603 Oraque 97 1
604 Oraque 34 0
605 Oraque 25 0
606 Oraque 59 1
607 Oraque 9 0
608 Oraque 82 1
609 Oraque 85 1
610 Oraque 84 1
611 Oraque 62 1
612 Oraque 69 1
613 Oraque 97 1
614 Oraque 79 1
615 Oraque 95 1
616 Oraque 78 0
617 Oraque 63 1
618 Oraque 37 0
619 Oraque 48 0
620 Oraque 35 0
621 Oraque 26 0
622 Oraque 22 1
623 Oraque 81 1
624 Oraque 80 1
625 Oraque 83 1
626 Oraque 5 0
627 Oraque 47 0
628 Oraque 43 0
629 Oraque 49 1
630 Oraque 9 0
631 Oraque 69 1
632 Oraque 54 0
633 Oraque 41 0
634 Oraque 56 0
635 Oraque 20 0
636 Oraque 82 0
637 Oraque 80 1
638 Oraque 71 1
639 Oraque 72 0
640 Oraque 28 0
641 Oraque 36 0
642 Oraque 84 1
643 Oraque 20 0
644 Oraque 21 0
645 Oraque 68 0
646 Oraque 36 0
647 Oraque 14 0
648 Oraque 43 0
649 Oraque 81 0
650 Oraque 88 1
651 Oraque 90 0
652 Oraque 52 1
653 Oraque 29 0
654 Oraque 68 0
655 Oraque 94 1
656 Oraque 32 0
657 Oraque 37 0
658 Oraque 75 1
659 Oraque 25 0
660 Oraque 78 1
661 Oraque 88 1
662 Oraque 6 0
663 Oraque 13 0
664 Oraque 39 1
665 Oraque 59 0
666 Oraque 56 1
667 Oraque 76 1
668 Oraque 98 0
669 Oraque 35 1
670 Oraque 48 0
671 Oraque 47 0
672 Oraque 78 1
673 Oraque 43 0
674 Oraque 24 0
675 Oraque 22 0
676 Oraque 93 0
677 Oraque 51 0
678 Oraque 8 0
679 Oraque 67 1
680 Oraque 54 1
681 Oraque 36 0
682 Oraque 48 0
683 Oraque 60 0
684 Oraque 36 0
685 Oraque 71 0
686 Oraque 71 1
687 Oraque 40 0
688 Oraque 9 1
689 Oraque 39 0
690 Oraque 29 0
691 Oraque 59 0
692 Oraque 51 1
693 Oraque 90 1
694 Oraque 84 1
695 Oraque 7 0
696 Oraque 53 0
697 Oraque 89 1
698 Oraque 26 0
699 Oraque 29 0
700 Oraque 69 1
701 Oraque 9 0
702 Oraque 74 1
703 Oraque 85 0
704 Oraque 80 1
705 Oraque 50 0
706 Oraque 14 0
707 Oraque 4 1
708 Oraque 75 1
709 Oraque 46 0
710 Oraque 33 0
711 Oraque 97 1
712 Oraque 31 0
713 Oraque 88 0
714 Oraque 9 0
715 Oraque 11 1
716 Oraque 28 0
717 Oraque 14 0
718 Oraque 8 0
719 Oraque 27 0
720 Oraque 13 0
721 Oraque 52 0
722 Oraque 61 0
723 Oraque 42 0
724 Oraque 83 0
725 Oraque 29 0
726 Oraque 94 1
727 Oraque 59 1
728 Oraque 19 0
729 Oraque 18 1
730 Oraque 56 1
731 Oraque 26 0
732 Oraque 6 0
733 Oraque 22 0
734 Oraque 91 1
735 Oraque 68 1
736 Oraque 13 0
737 Oraque 39 0
738 Oraque 54 0
739 Oraque 4 1
740 Oraque 86 0
741 Oraque 56 1
742 Oraque 16 0
743 Oraque 49 0
744 Oraque 91 1
745 Oraque 80 0
746 Oraque 53 0
747 Oraque 43 0
748 Oraque 12 0
749 Oraque 62 0
750 Oraque 24 1
751 Oraque 63 1
752 Oraque 69 0
753 Oraque 39 1
754 Oraque 90 1
755 Oraque 19 0
756 Oraque 11 0
757 Oraque 36 0
758 Oraque 7 0
759 Oraque 67 0
760 Oraque 57 0
761 Oraque 25 0
762 Oraque 59 1
763 Oraque 72 0
764 Oraque 31 0
765 Oraque 32 0
766 Oraque 70 0
767 Oraque 84 1
768 Oraque 63 1
769 Oraque 50 0
770 Oraque 50 0
771 Oraque 57 0
772 Oraque 25 1
773 Oraque 90 0
774 Oraque 47 1
775 Oraque 15 0
776 Oraque 72 1
777 Oraque 80 1
778 Oraque 50 1
779 Oraque 87 1
780 Oraque 72 0
781 Oraque 69 1
782 Oraque 36 0
783 Oraque 84 0
784 Oraque 21 0
785 Oraque 6 0
786 Oraque 1 0
787 Oraque 57 1
788 Oraque 88 1
789 Oraque 15 0
790 Oraque 48 1
791 Oraque 93 1
792 Oraque 79 0
793 Oraque 8 0
794 Oraque 9 0
795 Oraque 18 0
796 Oraque 36 0
797 Oraque 69 0
798 Oraque 99 1
799 Oraque 13 0
800 Oraque 30 1
801 Oraque 36 0
802 Oraque 98 1
803 Oraque 36 0
804 Oraque 74 1
805 Oraque 43 1
806 Oraque 20 0
807 Oraque 65 0
808 Oraque 37 0
809 Oraque 80 0
810 Oraque 16 0
811 Oraque 10 0
812 Oraque 58 0
813 Oraque 3 0
814 Oraque 70 1
815 Oraque 57 0
816 Oraque 86 1
817 Oraque 45 0
818 Oraque 89 1
819 Oraque 71 0
820 Oraque 22 0
821 Oraque 26 1
822 Oraque 53 1
823 Oraque 31 1
824 Oraque 49 0
825 Oraque 14 1
826 Oraque 23 0
827 Oraque 24 0
828 Oraque 54 0
829 Oraque 2 0
830 Oraque 57 1
831 Oraque 97 1
832 Oraque 22 0
833 Oraque 62 0
834 Oraque 91 0
835 Oraque 12 0
836 Oraque 77 1
837 Oraque 84 1
838 Oraque 94 1
839 Oraque 19 0
840 Oraque 98 1
841 Oraque 71 0
842 Oraque 13 0
843 Oraque 60 1
844 Oraque 2 1
845 Oraque 39 0
846 Oraque 74 1
847 Oraque 45 0
848 Oraque 74 1
849 Oraque 43 1
850 Oraque 77 1
851 Oraque 85 1
852 Oraque 72 1
853 Oraque 54 0
854 Oraque 58 0
855 Oraque 3 0
856 Oraque 33 0
857 Oraque 32 1
858 Oraque 50 0
859 Oraque 19 1
860 Oraque 40 0
861 Oraque 57 0
862 Oraque 37 0
863 Oraque 79 1
864 Oraque 47 0
865 Oraque 8 0
866 Oraque 59 1
867 Oraque 99 1
868 Oraque 83 1
869 Oraque 53 0
870 Oraque 26 0
871 Oraque 12 0
872 Oraque 47 0
873 Oraque 65 1
874 Oraque 25 0
875 Oraque 25 0
876 Oraque 20 1
877 Oraque 70 1
878 Oraque 80 0
879 Oraque 82 1
880 Oraque 55 0
881 Oraque 84 0
882 Oraque 90 1
883 Oraque 69 0
884 Oraque 76 0
885 Oraque 35 0
886 Oraque 44 0
887 Oraque 87 1
888 Oraque 8 0
889 Oraque 10 0
890 Oraque 26 0
891 Oraque 96 1
892 Oraque 12 0
893 Oraque 85 1
894 Oraque 74 0
895 Oraque 54 0
896 Oraque 17 0
897 Oraque 93 1
898 Oraque 5 0
899 Oraque 73 1
900 Oraque 55 0
